Title,Rating,Votes,Duration
289. Animale,6,270,1h 38m
290. Bureau 749,4.1,503,2h 3m
291. I'll Play Mother,5.1,81,1h 48m
292. Bone Lake,6.9,43,1h 34m
"293. The Haunted, the Possessed and the Damned",2.8,51,1h 51m
294. An Intruder Among Us,9.4,16,N/A
295. Crust,6.2,221,1h 42m
296. Nokturno,3.7,204,1h 39m
297. From Darkness,5,549,1h 35m
298. Go Away,4.3,183,N/A
299. Winter Island,4.6,159,1h 42m
300. Exorcism Chronicles: The Beginning,7,71,1h 25m
301. Witch,5.1,1.4,1h 47m
302. You Shouldn't Have Let Me In,4.1,178,1h 24m
303. Vampire Zombies... From Space!,7.6,60,1h 38m
304. Possessions,3.8,844,1h 29m
305. Amp House Massacre,3.9,174,1h 20m
306. Chateau,4,263,1h 23m
307. Siccin 7,4.1,903,1h 34m
308. Life of Belle,5,638,1h 13m
309. Cocaine Werewolf,2.3,295,1h 20m
310. Z Zone,5.2,24,1h 23m
311. The Convent,4.2,8,1h 20m
312. The Jack in the Box Rises,4.1,777,1h 32m
313. Huntress,2.9,80,1h 17m
314. Munkar,5.2,473,1h 27m
315. Skeletons in the Closet,3,562,1h 32m
316. Gacy: Serial Killer Next Door,3.3,474,1h 37m
317. Texas Cult House,8.2,22,N/A
318. Space Sharks,1.5,314,1h 10m
319. Cadi,6.3,4.3,2h 14m
320. Orang Ikan,6.5,31,1h 23m
321. Clickbait: Unfollowed,4.9,564,1h 30m
322. Pacific Fear,3.5,181,1h 25m
323. Cursed,4.2,134,1h 21m
324. A Halloween Feast,5.5,780,1h 43m
325. Invited,5.2,194,1h 11m
326. Scared to Death,6.2,27,1h 38m
327. Alien Country,4.4,351,1h 36m
328. Followers,3.7,246,1h 14m
329. Haze,6.9,43,1h 16m
330. The Cellar,5.9,162,1h 25m
331. The Hunted,5.1,367,1h 34m
332. Kalinga,7.8,7.5,1h 56m
333. Dagr,4.6,2.7,1h 17m
334. Wake,3.4,263,1h 25m
335. Paranoia,4.2,356,1h 35m
336. Z-Mom,4.7,43,1h 30m
337. Horny Teenagers Must Die!,3.2,230,1h 24m
338. Graveyard Shark,3.3,215,1h 37m
339. Do Not Open,2.6,259,1h 31m
340. The Stalking,4,35,1h 12m
341. Seeds,6.7,56,1h 22m
342. Mummy Shark,2,173,1h 6m
343. Swoon,6,13,1h 23m
344. The Beldham,6.4,34,N/A
345. Carnage for Christmas,4.5,338,1h 9m
346. The Moogai,5.5,140,1h 26m
347. The Haunted Apartment,7.4,76,1h 43m
348. A Mother's Embrace,5.8,557,1h 30m
349. In Our Blood,6.9,47,1h 29m
350. Its Name Was Mormo,3.6,113,1h 33m
351. Family,7.2,31,1h 35m
352. Curse of the Naked Ghost Hunters,5,11,35m
353. Pasar Setan,6.9,54,1h 36m
354. Happy Birthday Luci,9.4,56,N/A
355. The Cursed Land,5.6,284,2h 8m
356. The Naughty List of Mr. Scrooge,4.5,193,1h 30m
357. Hunting Matthew Nichols,9,44,1h 36m
358. Jugaremos en el bosque,4.8,93,1h 30m
359. Cara,7.1,42,1h 36m
360. Sayuri,6.4,264,1h 48m
361. Witch Hunter,5.2,23,1h 20m
362. Camp Blood: Clown Shark,3.3,82,1h 10m
363. Do You See What I See,5.4,630,1h 49m
364. The Sin,5.3,333,1h 43m
365. Blood and Black,8.1,1.1,1h 28m
366. They Call Her Death,6.5,25,1h 32m
367. Invader,5.8,50,1h 10m
368. Killer Influence,2.8,251,1h 24m
369. Temurun,4.6,324,1h 25m
370. H. P. Lovecraft's the Old Ones,3.6,370,1h 24m
371. Air Fryer Slaughter,6.9,366,1h 30m
372. Grotesque 2,6.5,402,N/A
373. Ghost Island,7.1,43,1h 35m
374. A Coffin of Stars,N/A,N/A,1h 40m
375. The Depths,N/A,N/A,1h 28m
376. Darling,5.3,743,2h 39m
377. Tu Sangre,4.7,63,1h 21m
378. Mulm,6.2,52,1h 38m
379. Kifn,7.3,675,1h 40m
380. Tenants,5.8,78,1h 34m
